player_name,saison,competition_type,competition,club,games_played,goals,assists,owngoals,substitute_in,substitute_out,yellow_cards,yellow_red_cards,red_cards,penalties,minutes_played
Christiano Ronaldo,11/12,Nationale Pokalwettbewerbe,Supercopa,Real Madrid,2,1,0,0,0,0,1,0,0,0,180'
Christiano Ronaldo,10/11,Nationale Pokalwettbewerbe,Copa del Rey,Real Madrid,8,7,1,0,1,1,3,0,0,0,684'
Christiano Ronaldo,08/09,Nationale Pokalwettbewerbe,EFL Cup,Manchester United,4,2,0,0,2,1,1,0,0,1,240'
Christiano Ronaldo,08/09,Nationale Pokalwettbewerbe,FA Cup,Manchester United,2,1,1,0,0,2,0,0,0,0,144'
Christiano Ronaldo,07/08,Nationale Pokalwettbewerbe,FA Cup,Manchester United,3,3,0,0,0,0,0,0,0,1,270'
Christiano Ronaldo,07/08,Nationale Pokalwettbewerbe,Community Shield,Manchester United,1,0,0,0,0,0,0,0,0,0,120'
Christiano Ronaldo,06/07,Nationale Pokalwettbewerbe,FA Cup,Manchester United,7,3,1,0,1,1,0,0,0,2,558'
Christiano Ronaldo,06/07,Nationale Pokalwettbewerbe,EFL Cup,Manchester United,1,0,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,05/06,Nationale Pokalwettbewerbe,EFL Cup,Manchester United,4,2,1,0,0,1,1,0,0,1,343'
Christiano Ronaldo,05/06,Nationale Pokalwettbewerbe,FA Cup,Manchester United,2,0,0,0,1,0,0,0,0,0,121'
Christiano Ronaldo,04/05,Nationale Pokalwettbewerbe,FA Cup,Manchester United,7,4,3,0,1,3,1,0,0,0,545'
Christiano Ronaldo,04/05,Nationale Pokalwettbewerbe,EFL Cup,Manchester United,2,0,0,0,0,1,1,0,0,0,180'
Christiano Ronaldo,03/04,Nationale Pokalwettbewerbe,FA Cup,Manchester United,5,2,3,0,0,3,0,0,0,0,436'
Christiano Ronaldo,03/04,Nationale Pokalwettbewerbe,EFL Cup,Manchester United,1,0,0,0,0,1,0,0,0,0,77'
Christiano Ronaldo,02/03,Nationale Pokalwettbewerbe,Taça de Portugal,Sporting Lissabon,3,2,0,0,1,1,0,0,0,0,172'
Christiano Ronaldo,02/03,Nationale Pokalwettbewerbe,Supertaça Cândido de Oliveira,Sporting Lissabon,0,0,0,0,0,0,0,0,0,0,0
Christiano Ronaldo,24/25,Internationale Pokalwettbewerbe,AFC Champions League Elite,Al-Nassr FC,4,4,0,0,0,2,0,0,0,0,333'
Christiano Ronaldo,23/24,Internationale Pokalwettbewerbe,AFC Champions League,Al-Nassr FC,8,6,1,0,0,2,1,0,0,1,738'
Christiano Ronaldo,23/24,Internationale Pokalwettbewerbe,AFC Champions League-Qualifikation,Al-Nassr FC,1,0,1,0,0,0,0,0,0,0,90'
Christiano Ronaldo,22/23,Internationale Pokalwettbewerbe,UEFA Europa League,Manchester United,6,2,2,0,0,1,1,0,0,1,531'
Christiano Ronaldo,21/22,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,7,6,0,0,0,2,1,0,0,0,612'
Christiano Ronaldo,20/21,Internationale Pokalwettbewerbe,UEFA Champions League,Juventus Turin,6,4,2,0,0,1,0,0,0,2,570'
Christiano Ronaldo,19/20,Internationale Pokalwettbewerbe,UEFA Champions League,Juventus Turin,8,4,1,0,0,1,0,0,0,1,712'
Christiano Ronaldo,18/19,Internationale Pokalwettbewerbe,UEFA Champions League,Juventus Turin,9,6,2,0,0,0,1,0,1,1,749'
Christiano Ronaldo,17/18,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,13,15,3,0,0,0,2,0,0,4,1.170'
Christiano Ronaldo,17/18,Internationale Pokalwettbewerbe,FIFA Klub-WM,Real Madrid,2,2,0,0,0,0,0,0,0,0,180'
Christiano Ronaldo,17/18,Internationale Pokalwettbewerbe,UEFA Super Cup,Real Madrid,1,0,0,0,1,0,0,0,0,0,7'
Christiano Ronaldo,16/17,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,13,12,6,0,0,0,1,0,0,0,1.200'
Christiano Ronaldo,16/17,Internationale Pokalwettbewerbe,FIFA Klub-WM,Real Madrid,2,4,0,0,0,1,0,0,0,1,202'
Christiano Ronaldo,15/16,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,12,16,4,0,0,1,1,0,0,2,1.109'
Christiano Ronaldo,14/15,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,12,10,4,0,0,1,1,0,0,3,1.065'
Christiano Ronaldo,14/15,Internationale Pokalwettbewerbe,FIFA Klub-WM,Real Madrid,2,0,2,0,0,0,0,0,0,0,180'
Christiano Ronaldo,14/15,Internationale Pokalwettbewerbe,UEFA Super Cup,Real Madrid,1,2,0,0,0,0,0,0,0,0,90'
Christiano Ronaldo,13/14,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,11,17,5,0,0,2,1,0,0,2,993'
Christiano Ronaldo,12/13,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,12,12,1,0,0,0,1,0,0,0,1.080'
Christiano Ronaldo,11/12,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,10,10,3,0,0,0,1,0,0,2,930'
Christiano Ronaldo,10/11,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,12,6,4,0,0,3,2,0,0,1,1.021'
Christiano Ronaldo,09/10,Internationale Pokalwettbewerbe,UEFA Champions League,Real Madrid,6,7,1,0,1,1,0,0,0,0,450'
Christiano Ronaldo,08/09,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,12,4,3,0,1,1,2,0,0,0,1.010'
Christiano Ronaldo,08/09,Internationale Pokalwettbewerbe,FIFA Klub-WM,Manchester United,2,1,1,0,0,0,0,0,0,0,180'
Christiano Ronaldo,07/08,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,11,8,1,0,0,2,2,0,0,1,1.017'
Christiano Ronaldo,06/07,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,11,3,5,0,0,2,3,0,0,0,951'
Christiano Ronaldo,05/06,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,6,0,0,0,0,3,1,0,0,0,506'
Christiano Ronaldo,05/06,Internationale Pokalwettbewerbe,UEFA Champions League-Qualifikation,Manchester United,2,1,1,0,0,1,0,0,0,0,157'
Christiano Ronaldo,04/05,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,7,0,2,0,1,2,0,0,0,0,502'
Christiano Ronaldo,04/05,Internationale Pokalwettbewerbe,UEFA Champions League-Qualifikation,Manchester United,1,0,0,0,0,1,0,0,0,0,64'
Christiano Ronaldo,03/04,Internationale Pokalwettbewerbe,UEFA Champions League,Manchester United,5,0,1,0,2,2,0,0,0,0,291'
Christiano Ronaldo,02/03,Internationale Pokalwettbewerbe,UEFA-Cup (- 2009),Sporting Lissabon,2,0,1,0,1,1,0,0,0,0,119'
Christiano Ronaldo,02/03,Internationale Pokalwettbewerbe,UEFA Champions League-Qualifikation,Sporting Lissabon,1,0,0,0,1,0,0,0,0,0,32'
